imdbID,title,year,directors,rating,rating10,tags
tt3783958,La La Land,2016,Damien Chazelle,5,10,"""blu-ray, dvd"""
tt1120985,Blue Valentine,2010,Derek Cianfrance,5,10,blu-ray
tt5726616,Call Me by Your Name,2017,Luca Guadagnino,5,10,"""blu-ray, dvd, digital"""
tt0381681,Before Sunset,2004,Richard Linklater,5,10,"""blu-ray, criterion"""
tt1798709,Her,2013,Spike Jonze,5,10,"""blu-ray, dvd"""
tt0959337,Revolutionary Road,2008,Sam Mendes,5,10,blu-ray
tt7125860,If Beale Street Could Talk,2018,Barry Jenkins,4,8,"""blu-ray, dvd, digital"""
tt6543652,Cold War,2018,Pawe? Pawlikowski,4.5,9,blu-ray
tt0272338,Punch-Drunk Love,2002,Paul Thomas Anderson,4.5,9,"""blu-ray, dvd"""
tt2401878,Anomalisa,2015,"""Charlie Kaufman, Duke Johnson""",4,8,blu-ray
tt8613070,Portrait of a Lady on Fire,2019,Céline Sciamma,5,10,"""blu-ray, digital"""
